
# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\mario.png	255	255	255
20	textures\misc.png	176	224	248
10	textures\enemies.png	3	26	110
30	textures\tiles.png	255	128	192
40	textures\tiles4.png	4	193	170
50	textures\enemies-2.png	0	128	128
60	textures\enemy3.png	255	255	255
70	textures\map.png	156	252	240
80	textures\mario2.png	255	255	255
90	textures\mario3.png	255	255	255
100	textures\misc2.png	166	185	255
110	textures\enemies-3.png	0	130	130
120	textures\misc3.png	166	185	255
130	textures\enemies-4.png	0	255	255
140	textures\flower.png	255	255	255
150	textures\mairuadongua.png	0	128	128
160	textures\flower2.png	255	255	255
170	textures\mairuanguahoisinh.png	0	255	255
180	textures\title.png	255	255	255
190	textures\title2.png	237	28	36
200	textures\ruaden.png	255	255	255
210	textures\new_mario_left.png	67	145	190
220	textures\new_mario_right.png	67	145	190
230	textures\menu_game.png	255	219	161
240	textures\HUD.png	0	224	142
250	textures\special_item.png	0	183	239
260	textures\star_and_flower.png	0	183	239
270	textures\mario_transform_left.png	68	145	190
280	textures\mario_transform_right.png	68	145	190
290	textures\end_scene1.png	0	0	0
300	textures\enemies-2-red-goomba-die.png	0	128	128
310	textures\enemies-goomba-normal-die.png	3	26	110
320	textures\mario_fire_transform_black.png	255	255	255
330	textures\mario_fire_transform_blue.png	255	255	255
60085	290	174	306	190	50
## GOOMBA_?? BAY
60086	393	79	413	103	50
60087	414	79	434	103	50
60088	435	84	455	103	50
60089	456	84	476	103	50
#GOOMBA ?? CH?T 
60090	204	108	220	124	50
#GOOMBA ?? ?I B?		
60091	170	108	186	124	50
60092	187	108	203	124	50


#KOOPAS XANH HOI SINH UP
61000	74	127	92	143	130

#KOOPAS DO HOI SINH UP
61002	71	75	89	91	130

#KOOPAS XANH HOI SINH NGUA
61005	74	225	92	241	170

#KOOPAS DO HOI SINH NGUA
61006	71	277	88	293	170

#KOOPAS DO MAI NGUA
61004	279	225	295	241	150

#===== RUA DEN
#==== MAI UP
70520	172	24	188	40	160
#==== MAI NGUA
70521	172	212	188	228	200


#===== GOOMBA RED DIE BY KICK
180600	347	292	363	308	300

#===== GOOMBA NORMAL DIE BY KICK
180601	459	870	475	886	310


#===============HUD==========
60100	11	127	165	157	240
#60101	171	127	245	157	240
#icon MARIO					
60102	15	160	33	169	240
#icon Lugi					
60103	15	170	33	179	240
#PowerMelter filled arrow					
60104	63	161	72	170	240
#powerMelter filled iconP					
60105	72	161	88	170	240
#powerMelter empty arrow					
60106	90	161	99	170	240
#powerMelter empty icon					
60107	99	161	116	170	240
#empty card					
60108	159	159	184	188	240
#mushroom card					
60109	184	159	208	188	240
#fireflower card					
60110	208	159	232	188	240
#startman card					
60111	232	159	257	188	240
#font - 0					
60112	76	30	86	40	240
#font - 1				
60113	86	30	96	40	240
#font - 2				
60114	96	30	106	40	240
#font - 3					
60115	106	30	116	40	240
#font - 4					
60116	116	30	126	40	240
#font - 5					
60117	126	30	136	40	240
#font - 6					
60118	136	30	146	40	240
#font - 7					
60119	146	30	156	40	240
#font - 8					
60120	156	30	166	40	240
#font - 9					
60121	166	30	176	40	240
#font - A					
60122	176	30	186	40	240
#font - B				
60123	186	30	196	40	240
#font - C					
60124	76	40	86	50	240
#font - D					
60125	86	40	96	50	240
#font - E					
60126	96	40	106	50	240
#font - F					
60127	106	40	116	50	240
#font - G					
60128	116	40	126	50	240
#font - H					
60129	126	40	136	50	240
#font - I					
60130	136	40	146	50	240
#font - J					
60131	146	40	156	50	240
#font - K					
60132	156	40	166	50	240
#font - L					
60133	166	40	176	50	240
#font - M					
60134	176	40	186	50	240
#font - N					
60135	186	40	196	50	240
#font - O					
60136	76	50	86	60	240
#font - P					
60137	86	50	96	60	240
#font - Q					
60138	96	50	106	60	240
#font - R					
60139	106	50	116	60	240
#font - S					
60140	116	50	126	60	240
#font - T					
60141	126	50	136	60	240
#font - U					
60142	136	50	146	60	240
#font - V					
60143	146	50	156	60	240
#font - W					
60144	156	50	166	60	240
#font - X					
60145	166	50	176	60	240
#font - Y					
60146	176	50	186	60	240
#font - Z					
60147	186	50	196	60	240
#==========SCORE ===================				
#100					
60150	61	89	72	97	240
#200					
60151	75	89	87	97	240
#400					
60152	90	89	102	97	240
#800					
60153	105	89	117	97	240
#1000					
60154	120	89	135	97	240
#2000					
60155	138	89	154	97	240
#4000					
60156	157	89	173	97	240
#8000					
60157	176	89	192	97	240
#1LV					
60158	195	89	211	97	240

## Black black				
60148	1100	450	1900	650	70

#====SPECIAL ITEMS
#FLOWER IDLE
62149	278	350	294	366	250
#=== MUSHROOM IDLE
62150	298	350	314	366	250
#==== STAR IDLE
62151	258	350	274	366	250
#FLOWER UP
62152	25	28	41	44	260
62153	332	375	342	391	250
#=== MUSHROOM UP
62154	257	373	273	389	250
62155	319	375	329	390	250
#==== STAR UP
62156	45	27	61	43	260
62157	347	374	357	390	250

#==== SPECIAL ITEMS DEP LEP
62158	355	374	364	390	250


#===== ANIMATION GACH BE
62200	494	120	502	128	20

#===== FIRE FLOWER
63000	26	4	42	20	260

#===== HIT EFFECT TURN TAIL
#===== RIGHT
64000	379	1	395	17	210
64001	397	19	413	35	210
#===== LEFT
64002	397	1	413	17	210
64003	379	19	395	35	210
#===== HIT EFFECT FIRE BULLET
64004	435	3	447	15	210
64005	415	1	431	17	210


#END SECTION


# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
# ==== MARIO =========
#idle BIG right
400	5009	100
#idle BIG left
401	5007	100
#idle small right
402	1009	100
#idle small left
403	1007	100
#walk right big
500	5009	100	5010	100	5011	100
#walk left big
501	5007	100	5006	100	5005	100
#walk right small
502	1010	100	1011	100	1012	100
#walk left small
503	1006	100	1005	100	1004	100
#fly right big
504	6009	100	6010	100	6011	100	6012	100	6013	100	6014	100
#fly left big
505	6007	100	6006	100	6005	100	6004	100	6003	100	6002	100
#jump right big
506	8014	100
#jump left big
507	8002	100
#brake right big
508	5015	50
#brake right big
509	5001	50
#hold right big
510	7012	100	9008	100	9009	100
#hold left big
511	7004	100	9006	100	9005	100
#kick right big
512	8015	100
#kick right big
513	8001	100
#running right big
514	5009	50	5010	50	5011	50
#running left big
515	5007	50	5006	50	5005	50

#jump right small
516	3014	100
#jump left small
517	3002	100
#fly right small
518	2009	100	2010	100	2011	100	2012	100	2013	100
#fly left small
519	2007	100	2006	100	2005	100	2004	100	2003	100
#brake right small
520	1015	50
#brake right small
521	1001	50
#hold right small
522	4009	100	4010	100
#hold left small
523	4007	100	4006	100
#kick right small
524	3015	100
#kick right small
525	3001	100
#running right small
526	1009	50	1010	50	1011	50
#running left small
527	1007	50	1006	50	1005	50
#sitdown right big
528	7015	100
#sitdown left big
529	7001	100
#die
599	4008	100


#jump_fall right big
900	5011	100
#jump_fall left big
901	5005	100


#jump_fall right tail
902	21013	100
#jump_fall left tail
903	23004	100


#jump_fall right fire
904	11011	100
#jump_fall left fire
905	11005	100

#===== MARIO's PIPE ANIMATION
#=== mario small
10000	5008	100
#=== mario big
10001	1008	100
#==== mario tail
10002	400005	100
#==== mario fire
10003	11008	100

# ====TAIL MARIO =========
#idle right tail
600	17009	100
#idle left tail
601	17007	100
#walk right tail
602	17009	100	17010	100	17011	100
#walk left tail
603	17007	100	17006	100	17005	100
#jump right tail
604	20014	100
#jump left tail
605	20002	100
#brake right tail
608	17015	50
#brake left tail
609	17001	50
#fly right tail
606	19013	100	20013	100
#fly left tail
607	19003	100	20003	100
#hold right tail
610	18020	100	18022	100	18023	100	18022	100
#hold left tail
611	18021	100	18024	100	18025	100	18024	100
#kick right tail
612	18026	100
#kick left tail
613	18027	100
#running right tail
614	17009	50	17010	50	17011	50
#running left tail
615	17007	50	17006	50	17005	50
#sitdown right tail
616	18014	100
#sitdown left tail
617	18002	100
#?UÔI_QUAY_TRÁI
618	17004	80	17008	80	17012	80	18008	80
#?UÔI_QUAY_PH?I
619	17012	80	17008	80	17004	80	18008	80
#?UÔI_ROI_TRÁI
620	23004	100	21003	100
#?UÔI_ROI_PH?I
621	23012	100	21013	100
#high TAIL speed left 
622	24001	30	24002	30	24003	30	24002	30
#high TAIL speed right
623	24004	30	24005	30	24006	30	24005	30

# ====FIRE MARIO =========
#idle right fire
700	11009	100
#idle left fire
701	11007	100
#walk right fire
702	11009	100	11010	100	11011	100
#walk left fire
703	11007	100	11006	100	11005	100
#jump right fire
704	14014	100
#jump left fire
705	14002	100
#fly right fire
706	12009	100	12010	100	12011	100	12012	100	12013	100	12014	100
#fly left fire
707	12007	100	12006	100	12005	100	12004	100	12003	100	12002	100
#brake right fire
708	11015	50
#brake left fire
709	11001	50
#hold right fire
710	13012	100	15010	100	15011	100
#hold left fire
711	13004	100	15006	100	15005	100
#kick right fire
712	14015	100
#kick left fire
713	14001	100
#running right fire
714	11009	50	11010	50	11011	50
#running left fire
715	11007	50	11006	50	11005	50
#sitdown right fire
716	13015	100
#sitdown left fire
717	13001	100

#hold right idle big
718	7012	100
#hold left idle big
719	7004	100


#hold right idle small
720	4009	100
#hold left idle big
721	4007	100


#hold right idle tail
722	18020	100
#hold left idle big
723	18021	100


#hold right idle fire
724	13012	100
#hold left idle big
725	13004	100


#=========== JUMP MAX POWER MARIO
#===== LEVEL BIG
#==== RIGHT
726	6014	100
#==== LEFT
727	6002	100
#===== LEVEL SMALL
#==== RIGHT
728	2013	100
#==== LEFT
729	2003	100
#===== LEVEL TAIL
#==== RIGHT
730	35000	100
#==== LEFT
731	35001	100
#===== LEVEL FIRE
#==== RIGHT
732	12014	100
#==== LEFT
733	12002	100

#===MARIO GREEN
# MARIO_GREEN_ANI_BIG_IDLE_RIGHT
800	42000	100
# MARIO_GREEN_ANI_BIG_IDLE_LEFT	
801	42001	100
# MARIO_GREEN_ANI_BIG_WALKING_RIGHT	
802	42000	100	42002	100	42003	100
# MARIO_GREEN_ANI_BIG_WALKING_LEFT	
803	42001	100	42004	100	42005	100
# MARIO_GREEN_ANI_BIG_JUMPING_RIGHT	
804	42006	100
# MARIO_GREEN_ANI_BIG_JUMPING_LEFT	
805	42007	100
# MARIO_GREEN_ANI_BIG_HOLDING_IDLE_RIGHT
806	42008	100
# MARIO_GREEN_ANI_BIG_HOLDING_IDLE_LEFT
807	42009	100
# MARIO_GREEN_ANI_BIG_HOLDING_RIGHT	
808	42010	100	42011	100
# MARIO_GREEN_ANI_BIG_HOLDING_LEFT	
809	42012	100	42013	100
# MARIO_GREEN_ANI_BIG_KICKING_RIGHT	
810	42014	100
# MARIO_GREEN_ANI_BIG_KICKING_LEFT	
811	42015	100
# MARIO_GREEN_ANI_JUMP_FALL_RIGHT	
812	42003	100
# MARIO_GREEN_ANI_JUMP_FALL_LEFT
813	42005	100
# MARIO_GREEN_ANI_BIG_RUNNING_RIGHT	
814	42000	50	42002	50	42003	50
# MARIO_GREEN_ANI_BIG_RUNNING_LEFT	
815	42001	50	42004	50	42005	50


#======= MARIO TRANSFORM 
#=== LEFT =====
998	22000	100	5007	100
#==== RIGHT =====
999	22001	100	5009	100


#======= MARIO TRANSFORM SMOKE
#====== LEFT ====
13100	22002	100	22003	100	22004	100	22005	100
#=====RIGHT=====
13101	22006	100	22007	100	22008	100	22009	100

#====== MARIO TRANSFORM FIRE
#===== RIGHT
13102	22010	100	22011	100
#===   LEFT
13103	22012	100	22013	100

#===== BOOMERANG ENEMY
#===== NORMAL RIGHT
200016	100022	100	100023	100
#===== THROW  RIGHT
200017	100024	100	100025	100
#==== DIE    RIGHT
200018	100026	100	100027	100

#===== NORMAL LEFT
200019	100028	100	100029	100
#===== THROW  LEFT
200020	100030	100	100031	100
#==== DIE    LEFT
200021	100032	100	100033	100



#SECTION 1

#DOUBLE PIPE BLACK BODY RIGHT
3009	80019	100

#DOUBLE PIPE BLACK BODY LEFT
3008	80018	100

#DOUBLE PIPE BLACK
3007	80017	100

#DOUBLE PIPE
3005	80016	100

#GACH XANH
3006	80015	100

# ==== KOOPAS XANH SHELL UP, DOWN, SPIN =========
#3004	80002	100
#3005	80003	100

#==== GACH B? ???C ====
3003	80011	50	80012	50	80013	50	80014	50

# ====MÂY =========
3001	80000	100
3002	80001	100

# ====G?CH NH? LO?I 1 =========
1500	50001	100
1501	50002	100
1502	50003	100

#==== G?CH B? TRÊN ====
1503	50004	100
1504	50005	100
1505	50006	100

#==== G?CH B? D??I ====
1506	50007	100
1507	50008	100
1508	50009	100

#==== G?CH B? L? ====
3000	50010	100

# ==== QUESTION BRICK =========
6002	400001	1000	400001	100	400002	100	400003	100	400004	100

#SECTION 1 END


#SECTION 2


#==== BUI CAY NHO
2008	70008	100

#==== DONG TIEN
2100	70100	150	70101	150	70102	150	70101	150

# ====GACH NHO LOAI 1=========
1500	50001	100
1501	50002	100
1502	50003	100

#==== GACH BU TRÊN ====
1503	50004	100
1504	50005	100
1505	50006	100

#==== GACH BU DUOI====
1506	50007	100
1507	50008	100
1508	50009	100

#==== HÀNG CÂY 1 ====
2000	70000	100
2001	70001	100
2002	70002	100
2003	70003	100
2004	70004	100
2005	70005	100
2006	70006	100
2007	70007	100

#CLOUD
2010	70201	100
2011	70202	100
2012	70203	100

#GOOMBA
#GOOMBA WALK
#2013	70301	100	70302	100
#GOOMBA DIE
#2014	70303	100

#KOOPAS XANH
#KOOPAS WALK
#KOOPAS WALK RIGHT
#2015	70401	100	70402	100
#KOOPAS WALK LEFT
#2016	70403	100	70404	100
#KOOPAS DIE
#2017	70405	100

#==== FIRE BULLET
#==== FIRE BULLET RIGHT
2101	70501	100	70502	100
2102	70503	100	70504	100

## b?n l?a
## b?n trái
1681	13004	25	13003	25	13002	100
## b?n ph?i
1680	13012	25	13013	25	13014	100

#====FLOWER RED
#====FLOWER RED LEFT
2103	70505	100	70506	100
#====FLOWER RED RIGHT
2104	70507	100	70508	100
#====FLOWER RED LEFT IDLE
2105	70506	100
#====FLOWER RED RIGHT IDLE
2106	70508	100


#====FLOWER GREEN
2201	70701	100	70702	100


#====FLOWER GREEN CAN SHOOT
#====FLOWER GREEN CAN SHOOT LEFT
2202	70703	100	70704	100
#====FLOWER GREEN CAN SHOOT RIGHT
2203	70705	100	70706	100
#====FLOWER GREEN CAN SHOOT LEFT IDLE
2204	70704	100
#====FLOWER GREEN CAN SHOOT RIGHT IDLE
2205	70706	100



#====FLOWER BULLET
2107	70509	100	70510	100	70511	100	70512	100


#==== QUESTION BRICK
2108	70513	100	70514	100	70515	100	70516	100

#==== QUESTION BRICK WITHOUT QUESTION
2109	70517	100


#===== LEAF LEFT
2110	70518	100

#===== LEAF RIGHT
2111	70519	100

#===== MUSHROOM RED
2112	70601	100
#===== MUSHROOM GREEN
2113	70602	100

#===== BELL
2114	70603	100	70604	100
2115	70605	100



#====== FLOWER RED SHOOTING UP
#====== FLOWER RED SHOOTING UP LEFT
2206	70803	100	70801	100
#====== FLOWER RED SHOOTING UP RIGHT
2207	70804	100	70802	100
#====== FLOWER RED SHOOTING UP IDLE LEFT
2208	70801	100
#===== FLOWER RED SHOOTING UP IDLE RIGHT
2209	70802	100



#====== FLOWER GREEN CAN SHOOT SHOOTING UP
#====== FLOWER GREEN CAN SHOOT SHOOTING UP LEFT
2210	70805	100	70807	100
#====== FLOWER GREEN CAN SHOOT SHOOTING UP RIGHT
2211	70806	100	70808	100
#====== FLOWER GREEN CAN SHOOT SHOOTING UP IDLE LEFT
2212	70807	100
#====== FLOWER GREEN CAN SHOOT SHOOTING UP IDLE RIGHT
2213	70808	100


#===== RUA DEN
#==== MAI UP
2312	70520	100
#===== MAI NGUA
2313	70521	100

#===== FIRE FLOWER
63001	63000	100


#SECTION 2 END


#SECTION 3
#===	KH?I TR?NG ===
1601	60001	100
1602	60002	100
1603	60003	100
1604	60004	100
1605	60005	100
1606	60006	100
1607	60007	100
1608	60008	100
1609	60009	100
#======= KH?I ??
1611	60011	100
1612	60012	100
1613	60013	100
1614	60014	100
1615	60015	100
1616	60016	100
1617	60017	100
1618	60018	100
1619	60019	100
#===== Kh?i xanh D??NG
1621	60021	100
1622	60022	100
1623	60023	100
1624	60024	100
1625	60025	100
1626	60026	100
1627	60027	100
1628	60028	100
1629	60029	100
#======== KH?I XANH LÁ
1631	60031	100
1632	60032	100
1633	60033	100
1634	60034	100
1635	60035	100
1636	60036	100
1637	60037	100
1638	60038	100
1639	60039	100
#===== V?T ?EN
1641	60041	100
1642	60042	100
1643	60043	100
#==== V?T ?EN D??I
1644	60044	100
1645	60045	100
#==== ?NG C?NG
1651	60051	100
1652	60052	100
1653	60053	100
1654	60054	100
#=== 1 VIÊN G?CH R?NG C?A SIÊU B?
1655	60055	100
1656	60056	100
1657	60057	100
1658	60058	100
#==== 1 VIÊN G?CH R?NG C?A B?
1659	60059	100

# ==== GOOMBA  =========
# walk
1660	60059	100	60060	100
# die
1661	60061	100
##MAX SPEED
# b?    ph?i	trái				
1682	5012	25	5013	25	5014	25
1683	5002	25	5003	25	5004	25
#l?a ph?i trái					
1684	11012	25	11013	25	11014	25
1685	11002	25	11003	25	11004	25
#nh? ph?i trái					
1686	1010	25	1012	25
1687	1004	25	1006	25

# ==== KOOPAS  XANH_?I B?=========
#walk left
1662	60062	100	60063	100
#walk right
1663	60064	100	60065	100
#die
1664	60066	100
##KOOPAS XANH BAY_PH?I SANG TRÁI
1665	60067	100	60068	100	60069	100	60070	100
#KOOPAS MAI RÙA _XANH
#ÚP
1666	60071	100
#60072	100	60073	100	60074	100
#NG?A
1667	60075	100
#KOOPAS ?? _?I B?
#walk left
1668	60076	100	60077	100
#walk right
1676	60093	100	60094	100
#KOOPAS ??_BAY
1669	60078	100	60079	100	60080	100	60081	100
#MAI RÙA ??
#ÚP
1670	60082	100
#GOOMBA ?? _BAY WALK
1671	60088	100	60089	100
#===== GOOMBA RED GEARING
4321	60086	100	60087	100	60088	100	60089	100
#===== GOOMBA RED FLYING
4322	60086	100	60087	100	60088	50	60089	50
#GOOMBA ??_CH?T
1672	60090	100
#GOOMBA XANH_XOAY
1673	80004	50	80005	50	80006	50
#GOOMBA ??_XOAY
1674	80008	50	80009	50	80010	50
#GOOMBA ?? ?I B?				
1675	60091	100	60092	100

#KOOPAS XANH HOI SINH UP
1677	61000	100	60071	100

#KOOPAS DO HOI SINH UP
1678	61002	100	60082	100

#KOOPAS DO MAI DO
1679	61004	100

#KOOPAS XANH HOI SINH NGUA
1690	60075	100	61005	100

#KOOPAS DO HOI SINH NGUA
1691	61004	100	61006	100

#KOOPAS XANH SPINNING NGUA
1692	80100	50	80101	50	80102	50

#KOOPAS RED SPINNING NGUA
1693	80103	50	80104	50	80105	50

#Koopas xanh walk right faster
1701	60064	40	60065	40

#===== GOOMBA RED DIE BY KICK
2333	180600	100

#===== GOOMBA RED DIE BY KICK
2334	180601	100

#============HUD==============			
4000	60100	100
#icon MARIO			
4001	60102	100
#icon Lugi			
4002	60103	100
#PowerMelter filled arrow			
4003	60104	100
#powerMelter filled iconP			
4004	60105	150	60107	150
#powerMelter empty arrow			
4005	60106	100
#powerMelter empty iconP			
4006	60107	100
#empty card			
4007	60108	100
#mushroom card			
4008	60109	100
#fireflower card			
4009	60110	100
#star card			
4010	60111	100
#font - 0		
4011	60112	100
#font - 1			
4012	60113	100
#font - 2			
4013	60114	100
#font - 3			
4014	60115	100
#font - 4			
4015	60116	100
#font - 5			
4016	60117	100
#font - 6			
4017	60118	100
#font - 7			
4018	60119	100
#font - 8			
4019	60120	100
#font - 9			
4020	60121	100
#font - A			
4021	60122	100
#font - B			
4022	60123	100
#font - C			
4023	60124	100
#font - D			
4024	60125	100
#font - E			
4025	60126	100
#font - F			
4026	60127	100
#font - G			
4027	60128	100
#font - H			
4028	60129	100
#font - I			
4029	60130	100
#font - J			
4030	60131	100
#font - K		
4031	60132	100
#font - L			
4032	60133	100
#font - M			
4033	60134	100
#font - N			
4034	60135	100
#font - O			
4035	60136	100
#font - P			
4036	60137	100
#font - Q			
4037	60138	100
#font - R			
4038	60139	100
#font - S			
4039	60140	100
#font - T			
4040	60141	100
#font - U			
4041	60142	100
#font - V			
4042	60143	100
#font - W			
4043	60144	100
#font - X			
4044	60145	100
#font - Y			
4045	60146	100
#font - Z			
4046	60147	100
#==========SCORE ===================			
#100			
4047	60150	100
#200		
4048	60151	100
#400			
4049	60152	100
#800			
4050	60153	100
#1000			
4051	60154	100
#2000			
4052	60155	100
#4000			
4053	60156	100
#8000			
4054	60157	100
#1LV			
4055	60158	100

#==== black black
4056	60148	100



#====SPECIAL ITEMS
#FLOWER IDLE
4057	62149	100
#=== MUSHROOM IDLE
4058	62150	100
#==== STAR IDLE
4059	62151	100
#FLOWER UP
4060	62152	100	62158	200
#=== MUSHROOM UP
4061	62154	100	62158	200
#==== STAR UP
4062	62156	100	62158	200


#=================FINAL BACKGROUND=====
#=== THE SAW BACKGROUND === 
20000	200001	100
#=== THE BUSHES OF BACKGROUND ===
20011	200011	100
20012	200012	100
20013	200013	100
20014	200014	100
20015	200015	100
20016	200016	100
20017	200017	100
#==== THE SQUARE OF ITEM===
20021	200021	100
20022	200022	100
20023	200023	100
20024	200024	100
#=== THE BLACK OF BACKGROUND===
20031	200031	100


#==== WORDS END SCENE 1
#====COURSE CLEAR
9100	80200	100
#====YOU GOT A CARD
9101	80201	100

#==== ANIMATION GACH BE
9200	62200	100


#===== HIT EFFECT TURN TAIL
#==== RIGHT
94000	64000	100	64001	100
#==== LEFT
94001	64002	100	64003	100

#===== HIT EFFECT FIRE BULLET
94002	64004	100	64005	100



#END SECTION 3

#
# id	ani1	ani2	ani3
#
[ANIMATION_SETS]
# MARIO
1	400	401	500	501	506	507	504	505	508	509	510	511	512	513	514	515	528	529	900	901	402	403	502	503	516	517	518	519	520	521	522	523	524	525	526	527	599	599	599	599	600	601	602	603	604	605	606	607	608	609	610	611	612	613	614	615	616	617	618	619	902	903	700	701	702	703	704	705	706	707	708	709	710	711	712	713	714	715	716	717	1680	1681	1682	1683	1684	1685	1686	1687	623	622	620	621	904	905	718	719	720	721	722	723	724	725	800	801	802	803	804	805	806	807	808	809	810	811	812	813	814	815	599	599	599	10000	10001	10002	10003	998	999	13100	13101	726	727	728	729	730	731	732	733	13102	13103
# QUESTION BRICK 
22	6002

#SECTION 1
#===== SCORE AND 1VP
9000	4047	4048	4049	4050	4051	4052	4053	4054	4055


#DOUBLE PIPE BLACK BODY LEFT
408	3009

#DOUBLE PIPE BLACK BODY LEFT
407	3008

#DOUBLE PIPE BLACK
406	3007

#DOUBLE PIPE
405	3005

#Gach Xanh
404	3006

#==== GACH B? ???C ====
403	3003	2100

#==== G?CH B? L? ====
402	3000

# ====MÂY =========
400	3001	
401	3002

# ====G?CH NH? LO?I 1 =========
30	1500
31	1501
32	1502

#==== G?CH B? TRÊN ====
33	1503
34	1504
35	1505

#==== G?CH B? TRÊN ====
36	1506
37	1507
38	1508

#SECTION 1 END

#SECTION 2

#==== DONG TIEN
209	2100

# ====GACH NHO LOAI 1 =========
30	1500
31	1501
32	1502

#==== GACH BU TRÊN====
33	1503
34	1504
35	1505

#==== GACH BU DUOI====
36	1506
37	1507
38	1508

#==== HÀNG CÂY 1 ====
200	2000
201	2001
202	2002
203	2003
204	2004
205	2005
206	2006
207	2007

#CLOUND
210	2010
211	2011
212	2012

#==== BUI CAY NHO
208	2008


#===== FIRE BULLET
215	2101	2102

#=====FLOWER
216	2103	2104	2105	2106	2201	2202	2203	2204	2205	2206	2207	2208	2209	2210	2211	2212	2213

#=====FLOWER BULLET
217	2107

#======QUESTION BRICK
218	2108	2109	3003

#====== LEAF
219	2110	2111

#MUSHROOM (RED , GREEN)
220	2112	2113

#=== BELL
221	2114	2115

#==== FIRE FLOWER
63002	63001


#SECTION 2 END


#SECTION 3
#==== KH?I TR?NG =====
39	1601
40	1602
41	1603
42	1604
43	1605
44	1606
45	1607
46	1608
47	1609
#==== KH?I ?? =====
48	1611
49	1612
50	1613
51	1614
52	1615
53	1616
54	1617
55	1618
56	1619
#==== KH?I XANH D??NG
57	1621
58	1622
59	1623
60	1624
61	1625
62	1626
63	1627
64	1628
65	1629
#===== KH?I XANH LÁ 
66	1631
67	1632
68	1633
69	1634
70	1635
71	1636
72	1637
73	1638
74	1639
#==== V?T ?EN
75	1641
76	1642
77	1643
78	1644
79	1645
#=== ?NG C?NG D?C
80	1651
81	1652
82	1653
83	1654
#=== 1 VIÊN G?CH R?NG C?A _SIÊU B?
84	1655
85	1656
86	1657
87	1658

## GOOMBA  :THUONG ?I B?(bthg- ch?t) , ?? BAY
88	1660	1661	1671	1672	1675	1671	2333	2334	4321	4322

## KOOOPAS
## Th? t? :Xanh ?i b? (trái ph?i),xanh bay (trái), mai rùa xanh(úp,ng?a), ?? ?i b?(trái,phai) ,?? bay (trái),mai ??( úp),hoi sinh (xanh,do)
89	1662	1663	1665	1666	1667	1668	1676	1669	1670	1673	1674	1677	1678	1679	1690	1691	2312	2313	1701	1692	1693

#====== BOOMERANG ENEMY
1315	200016	200017	200018	200021	200019	200020

#====BANG HUD
100	4000

#=====Icon Mario - Luigi
101	4001	4002

#==========Stack
102	4003	4004	4005	4006

#======= Card
103	4007	4008	4009	4010

#====== NUMBER
104	4011	4012	4013	4014	4015	4016	4017	4018	4019	4020

#====== LETTERS
105	4021	4022	4023	4024	4025	4026	4027	4028	4029	4030	4031	4032	4033	4034	4035	4036	4037	4038	4039	4040	4041	4042	4043	4044	4045	4046

#===== SCORE
106	4047	4048	4049	4050	4051	4052	4053	4054	4055

#===== black black
107	4056


#==== SPECIAL ITEMS
108	4057	4058	4059	4060	4061	4062

#=================FINAL BACKGROUND=====
#=== THE SAW BACKGROUND === 
1000	20000
#=== THE BUSHES OF BACKGROUND ===
1011	20011
1012	20012
1013	20013
1014	20014
1015	20015
1016	20016
1017	20017
#==== THE SQUARE OF ITEM===
1021	20021
1022	20022
1023	20023
1024	20024
#=== THE BLACK OF BACKGROUND===
1031	20031


#==== WORDS END SCENE 1
1140	9100	9101	4008	4009	4010

#===== GACH BE ANIMATION
1222	9200

#====== HIT EFFECT BY TURN TAIL AND HIT EFFECT FIRE BULLET
1942	94000	94001	94002





#ENDSECTON3


[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas, 4 = NoCollisionObjects, 5= RECT, 6=PIPE NORMAL, 7= koopas xanh_bay, 8= koopas ??_b?, 9= koopas ??_bay, 10=Coin NORMAL, 11=Goomba red bay, 12= Fire Bullet,13= FLOWER RED,14=Flower Bullet, 15=COIN CAN MOVE, 16=Leaf ,17=Mushroom Red,18=Question Brick Have Leaf, 19=Mushroom Green ,20=Question Brick Just Have Mushroom , 21= FLOWER GREEN , 22= FLOWER GREEN CAN SHOOT , 23= BREAKABLE BRICK , 24=BELL
#	25=HUD PANEL , 26=MARIO_LUIGI_HUD , 27=LIFE, 28= MONEY, 29=SCORE , 30=TIME_PICKER , 31= WORLD , 32=STACK NORMAL, 33=STACK MAX, 34=ITEM , 35= black black , 36=special item
#	37=PIPE DOWN , 38= PIPE UP , 39= SCORE AND 1VP ,40= WORDS END SCENE COURSE CLEAR , 41=WORDS END SCENE YOU GOT A CARD , 42=WORDS END SCENE ITEM
